species	accession
Campylobacter jejuni	GCF_003060785.1
Campylobacter jejuni subsp. jejuni	GCF_000807355.1
Campylobacter jejuni	GCF_003060745.1
Campylobacter jejuni	GCF_003060725.1
Campylobacter jejuni subsp. jejuni D42a	GCF_001865615.1
Campylobacter jejuni	GCF_001951335.1
Campylobacter jejuni	GCF_002587105.1
Campylobacter jejuni subsp. jejuni 00-2425	GCF_000468915.2
Campylobacter jejuni subsp. jejuni	GCF_000835305.1
Campylobacter jejuni	GCF_001314285.1
Campylobacter jejuni	GCF_001951295.1
Campylobacter jejuni	GCF_001587035.1
Campylobacter jejuni subsp. jejuni 00-2426	GCF_000466105.2
Campylobacter jejuni	GCF_001951315.1
Campylobacter jejuni subsp. jejuni 00-2544	GCF_000466075.2
Campylobacter jejuni subsp. jejuni PT14	GCF_000302555.5
Campylobacter jejuni subsp. jejuni 00-2538	GCF_000466065.2
Campylobacter jejuni	GCF_001587015.1
Campylobacter jejuni subsp. jejuni	GCF_003971585.1
Campylobacter jejuni	GCF_001865415.1
Campylobacter coli	GCF_003030205.1
Campylobacter jejuni subsp. jejuni R14	GCF_000632435.1
Campylobacter jejuni	GCF_003030185.1
Campylobacter jejuni	GCF_004328905.1
Campylobacter jejuni subsp. jejuni	GCF_900638235.1
Campylobacter jejuni	GCF_900638195.1
Campylobacter coli	GCF_001305715.1
Campylobacter coli RM4661	GCF_000583775.1
Campylobacter jejuni	GCF_003368165.1
Campylobacter jejuni subsp. jejuni	GCF_003574945.1
Campylobacter jejuni	GCF_003368185.1
Campylobacter jejuni	GCF_003368225.1
Campylobacter jejuni	GCF_004924295.1
Campylobacter coli	GCF_005517455.1
Campylobacter jejuni subsp. jejuni	GCF_003950275.1
Campylobacter jejuni	GCF_001951235.1
Campylobacter coli	GCF_001417635.1
Campylobacter coli	GCF_001717605.1
Campylobacter jejuni	GCF_001865435.1
Campylobacter jejuni	GCF_002407125.1
Campylobacter jejuni	GCF_001563565.1
Campylobacter jejuni subsp. jejuni M129	GCF_001865595.1
Campylobacter jejuni subsp. jejuni	GCF_001721965.1
Campylobacter coli	GCF_001417615.1
Campylobacter jejuni	GCF_001870085.1
Campylobacter coli	GCF_002407145.1
Campylobacter coli 15-537360	GCF_000494775.1
Campylobacter jejuni	GCF_001432345.1
Campylobacter jejuni subsp. jejuni F38011	GCF_000772225.1
Campylobacter jejuni subsp. jejuni CG8421	GCF_000171795.2
Campylobacter coli	GCF_001639125.1
Campylobacter coli	GCF_002024185.1
Campylobacter coli RM5611	GCF_000583795.1
Campylobacter coli	GCF_001865475.1
Campylobacter jejuni	GCF_001870105.1
Campylobacter jejuni RM1221	GCF_000011865.1
Campylobacter coli CVM N29710	GCF_000465235.1
Campylobacter jejuni subsp. jejuni	GCF_001721985.1
Campylobacter coli	GCF_001936355.1
Campylobacter jejuni subsp. jejuni S3	GCF_000184205.1
Campylobacter jejuni	GCF_002587225.1
Campylobacter coli	GCF_001865515.1
Campylobacter jejuni subsp. jejuni	GCF_002209045.1
Campylobacter coli	GCF_000954195.1
Campylobacter coli	GCF_001865455.1
Campylobacter coli	GCF_001865555.1
Campylobacter coli	GCF_001417655.1
Campylobacter jejuni subsp. jejuni	GCF_001717625.1
Campylobacter coli	GCF_001865495.1
Campylobacter coli	GCF_004307315.1
Campylobacter jejuni	GCF_900638185.1
Campylobacter coli	GCF_002843985.1
Campylobacter jejuni	GCF_002224325.1
Campylobacter jejuni subsp. jejuni	GCF_900638365.1
Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819	GCF_000009085.1
Campylobacter jejuni subsp. jejuni	GCF_900475265.1
Campylobacter jejuni	GCF_002238375.1
Campylobacter jejuni subsp. jejuni NCTC 11168-GSv	GCF_000830865.1
Campylobacter jejuni subsp. jejuni NCTC 11168-mfK12E5	GCF_000830845.1
Campylobacter jejuni subsp. jejuni NCTC 11168-Kf1	GCF_000830805.1
Campylobacter jejuni subsp. jejuni NCTC 11168-BN148	GCF_000304375.1
Campylobacter jejuni subsp. jejuni NCTC 11168-K12E5	GCF_000830775.1
Campylobacter jejuni subsp. jejuni	GCF_002209025.1
Campylobacter jejuni subsp. jejuni NCTC 11168-mcK12E5	GCF_000830825.1
Campylobacter jejuni	GCF_003368105.1
Campylobacter jejuni	GCF_900638225.1
Campylobacter jejuni	GCF_900638285.1
Campylobacter jejuni	GCF_003368085.1
Campylobacter jejuni	GCF_003368045.1
Campylobacter jejuni	GCF_002234455.1
Campylobacter jejuni subsp. jejuni 81116	GCF_000017905.1
Campylobacter jejuni subsp. jejuni	GCF_002028305.1
Campylobacter jejuni	GCF_003060765.1
Campylobacter jejuni subsp. jejuni	GCF_000934305.1
Campylobacter jejuni	GCF_002024325.1
Campylobacter jejuni subsp. jejuni	GCF_002209065.1
Campylobacter jejuni subsp. jejuni str. RM3420	GCF_001767215.1
Campylobacter jejuni	GCF_900638175.1
